osm_building,roof_features,roof_to_osm_area_ratio,match_fraction_min,roof_z_m,roof_z_p75_m,roof_z_max_m,roof_z_spread_max_m,dtm_ground_max_vertex_m,dtm_ground_roof_centroid_m,derived_height_m,derived_height_p75_roof_z_m,derived_height_max_roof_z_m,derived_height_centroid_ground_m,osm_reference_height_m,osm_reference_method,difference_from_osm_m,building_type,building_levels,osm_height_tag,name,footprint_area_m2
way/49069480,1,1.051,1.0,102.751,102.861,102.936,0.301,88.451,88.341,14.3,14.41,14.485,14.41,,,,yes,,,,1033.5
way/49224162,1,0.94,1.0,62.822,63.122,64.182,2.296,55.038,53.528,7.784,8.084,9.144,9.294,10.5,levels,-2.716,terrace,3,,,1433.1
way/49224164,1,1.008,0.912,62.85,63.999,65.953,3.888,54.004,53.845,8.846,9.995,11.948,9.005,7.5,levels,1.346,yes,2,,,629.4
way/49224178,1,1.264,0.783,64.508,64.656,65.375,1.496,55.185,54.735,9.323,9.471,10.19,9.774,7.5,levels,1.823,hospital,2,,,1650.3
way/50147999,1,0.636,1.0,123.451,123.739,127.683,7.601,79.463,79.221,43.987,44.275,48.22,44.23,15.0,height,28.987,commercial,,15,,1445.7
way/50148000,1,1.012,0.944,90.317,90.496,90.858,2.928,77.498,77.057,12.819,12.997,13.359,13.26,,,,yes,,,,1765.3
way/50148001,1,1.046,1.0,83.902,83.994,84.19,1.177,76.108,74.428,7.793,7.886,8.082,9.473,9.0,levels,-1.207,hotel,2,,Richmond Hotel,854.1
way/506914305,1,1.006,0.857,86.354,86.354,86.354,0.391,73.886,73.865,12.469,12.469,12.469,12.49,,,,yes,,,,100.0
way/50730171,1,1.135,1.0,90.893,90.893,91.089,0.391,74.693,74.089,16.2,16.2,16.396,16.804,,,,yes,,,,699.5
way/51070373,1,1.215,0.833,81.346,81.353,81.64,1.371,74.183,74.22,7.164,7.17,7.458,7.126,,,,school,,,,466.4
way/51458141,1,1.058,1.0,100.756,100.791,100.791,0.134,96.978,96.702,3.777,3.813,3.813,4.054,,,,yes,,,,44.5
way/51458143,1,0.926,0.909,99.502,99.614,101.421,2.81,96.416,95.977,3.087,3.199,5.005,3.525,,,,yes,,,Casa Memorială A. V. Șciusev,206.8
way/51458144,1,0.905,1.0,101.119,101.341,101.895,2.045,96.351,95.489,4.768,4.99,5.544,5.629,,,,yes,,,Biblioteca Națională pentru Copii „Ion Creangă”,1027.4
way/51458145,2,0.895,1.0,111.277,113.695,114.476,10.639,95.004,94.124,16.273,18.691,19.471,17.153,16.5,levels,-0.227,apartments,5,,,1350.2
way/51532228,1,1.227,0.71,74.355,74.526,74.569,1.134,54.792,53.707,19.563,19.735,19.777,20.647,19.5,levels,0.063,apartments,6,,,737.0
way/51680099,1,1.018,1.0,103.465,103.931,104.21,2.287,69.035,65.864,34.429,34.895,35.175,37.601,,,,yes,,,,1124.3
