osm_building,roof_features,roof_to_osm_area_ratio,match_fraction_min,roof_z_m,roof_z_p75_m,roof_z_max_m,roof_z_spread_max_m,dtm_ground_max_vertex_m,dtm_ground_roof_centroid_m,derived_height_m,derived_height_p75_roof_z_m,derived_height_max_roof_z_m,derived_height_centroid_ground_m,osm_reference_height_m,osm_reference_method,difference_from_osm_m,building_type,building_levels,osm_height_tag,name,footprint_area_m2
way/696838539,3,0.813,1.0,73.98,74.18,74.573,0.883,71.241,70.808,2.739,2.939,3.332,3.172,,,,yes,,,,250.1
way/696838540,1,1.026,1.0,76.949,77.095,77.636,1.277,71.758,71.192,5.191,5.337,5.879,5.757,,,,yes,,,,119.0
way/696842691,2,1.073,0.733,76.759,77.767,78.75,3.927,68.776,68.365,7.983,8.991,9.974,8.394,,,,yes,,,,568.3
way/696842692,2,1.144,0.714,71.054,71.447,71.743,0.984,68.237,67.84,2.817,3.21,3.505,3.214,,,,yes,,,,177.9
way/696843535,1,0.551,1.0,73.331,73.65,73.896,0.688,70.623,70.264,2.708,3.028,3.273,3.066,,,,yes,,,,234.3
way/696845100,1,0.245,1.0,75.167,75.56,75.56,0.59,72.848,71.266,2.319,2.712,2.712,3.901,,,,apartments,,,,732.6
way/696850457,3,1.013,0.714,87.763,88.834,90.889,3.887,84.597,84.548,3.166,4.237,6.292,3.215,,,,yes,,,,556.4
way/696850459,1,0.705,0.9,84.778,85.956,86.587,3.277,82.775,80.813,2.003,3.18,3.812,3.965,,,,yes,,,,457.0
way/696850460,1,0.926,1.0,89.003,89.258,90.173,1.584,86.297,86.162,2.706,2.961,3.876,2.841,,,,yes,,,,264.7
way/696853932,1,0.857,1.0,91.858,92.055,92.252,1.65,78.266,77.805,13.591,13.789,13.986,14.053,,,,yes,,,,340.0
way/696854710,1,1.006,0.875,90.941,91.019,93.427,2.719,77.589,76.731,13.353,13.43,15.838,14.211,,,,yes,,,,209.6
way/696854713,1,0.917,1.0,85.854,86.039,86.15,0.398,77.665,77.189,8.19,8.375,8.485,8.665,,,,yes,,,,524.8
way/696868896,1,0.888,0.818,62.72,64.006,64.564,2.796,59.537,59.057,3.182,4.469,5.026,3.663,,,,yes,,,,117.9
way/696868897,1,0.64,1.0,74.585,76.477,76.747,2.654,65.247,64.48,9.338,11.231,11.501,10.105,,,,yes,,,,272.9
way/697332695,1,0.919,1.0,80.653,81.183,81.471,1.786,76.619,76.213,4.034,4.564,4.851,4.44,,,,industrial,,,,275.1
way/697697303,1,0.897,1.0,70.157,70.42,72.222,2.163,65.477,65.31,4.68,4.943,6.744,4.847,,,,yes,,,,133.0
way/697852799,1,0.801,0.727,63.482,63.819,64.531,2.755,57.014,56.792,6.468,6.805,7.517,6.691,,,,house,,,,133.7
way/697852801,1,0.326,1.0,59.648,59.898,59.985,0.491,57.807,57.14,1.84,2.09,2.178,2.507,,,,yes,,,,134.8
way/698869582,1,1.358,0.75,95.459,95.769,95.839,2.582,91.341,91.156,4.118,4.427,4.497,4.303,,,,yes,,,,115.3
way/698924276,2,0.863,0.8,101.261,101.693,102.939,2.815,98.771,98.11,2.49,2.922,4.168,3.151,,,,yes,,,,337.9
way/698945588,1,1.181,0.875,82.881,87.064,87.274,6.712,77.364,76.837,5.518,9.701,9.91,6.044,,,,industrial,,,,873.8
way/70117732,1,1.037,1.0,100.383,100.49,100.532,1.48,89.597,89.418,10.786,10.893,10.935,10.965,,,,yes,,,Clădirea fostului gimnaziu pentru fete (1882),1692.7
way/70117734,1,0.878,1.0,102.184,102.343,102.437,5.647,86.958,86.85,15.226,15.384,15.479,15.334,,,,hospital,,,,2296.5
way/70117735,1,0.975,1.0,108.917,108.997,109.091,0.55,98.581,97.642,10.336,10.416,10.51,11.275,,,,yes,,,Blocul central,506.7
way/70117736,2,1.041,1.0,114.683,116.937,118.098,15.975,95.707,95.181,18.975,21.23,22.391,19.502,,,,hospital,,,,1391.5
way/704145993,1,0.718,1.0,89.135,89.317,90.088,1.582,86.877,86.497,2.258,2.439,3.211,2.639,,,,yes,,,,247.9
way/704145994,1,0.835,0.818,92.375,92.594,92.769,2.36,87.133,86.979,5.242,5.461,5.636,5.396,,,,yes,,,,263.9
way/704148995,1,0.851,1.0,91.582,91.676,91.707,0.246,88.007,87.976,3.575,3.669,3.7,3.606,,,,yes,,,,102.9
way/704148996,3,0.898,0.778,94.405,96.776,98.622,2.513,87.944,87.722,6.461,8.832,10.677,6.683,,,,yes,,,,355.3
way/704148997,2,0.886,0.857,93.69,95.202,96.378,2.688,88.004,87.95,5.686,7.198,8.374,5.739,,,,yes,,,,135.6
way/704149002,1,0.893,0.75,95.063,96.198,97.016,2.746,91.104,91.043,3.958,5.094,5.912,4.019,,,,yes,,,,159.5
way/704149881,2,0.967,0.783,93.643,95.081,97.527,3.57,88.256,87.96,5.387,6.826,9.271,5.683,,,,yes,,,,535.6
way/704153051,1,0.52,0.8,96.097,96.503,96.654,0.976,93.924,93.611,2.173,2.579,2.73,2.486,,,,yes,,,,114.3
way/704153053,1,0.095,1.0,95.486,96.361,96.361,0.885,92.484,92.407,3.002,3.877,3.877,3.079,,,,yes,,,,141.1
way/704153056,2,0.963,0.75,101.204,101.22,103.556,2.948,95.502,94.867,5.702,5.718,8.054,6.337,,,,yes,,,,204.6
way/704153057,1,0.927,0.7,101.122,101.493,103.181,2.269,98.751,98.298,2.371,2.742,4.429,2.824,,,,yes,,,,216.0
way/704155058,1,0.719,1.0,94.749,94.914,95.08,0.362,93.001,92.937,1.747,1.913,2.079,1.811,,,,yes,,,,82.2
way/704155061,1,0.358,1.0,88.458,89.227,89.227,0.866,86.119,85.979,2.339,3.108,3.108,2.48,,,,yes,,,,126.4
way/704155063,2,0.393,1.0,90.226,90.587,90.942,1.418,86.125,85.986,4.101,4.462,4.817,4.24,,,,yes,,,,546.8
way/704155064,1,0.511,1.0,89.906,90.68,90.868,1.609,86.177,85.754,3.729,4.502,4.691,4.152,,,,yes,,,,217.0
way/704155065,1,0.996,0.714,90.021,90.062,90.184,0.606,85.994,85.929,4.027,4.068,4.19,4.092,,,,yes,,,,392.2
way/704155066,1,0.501,1.0,90.855,90.873,90.888,0.163,85.818,85.761,5.037,5.055,5.07,5.094,,,,yes,,,,72.4
way/704155071,2,0.824,1.0,93.29,93.346,93.608,1.189,88.073,87.665,5.218,5.274,5.536,5.625,,,,yes,,,,602.3
way/704155072,1,1.01,0.875,92.728,92.731,93.495,1.006,88.215,87.931,4.513,4.517,5.28,4.797,,,,yes,,,,151.5
way/704155073,1,1.014,0.833,90.607,90.665,90.809,0.78,87.971,87.949,2.636,2.693,2.838,2.658,,,,yes,,,,236.5
way/704155074,1,0.513,1.0,92.473,92.542,92.575,0.472,88.11,87.622,4.363,4.432,4.465,4.85,,,,yes,,,,505.2
way/704155075,1,0.908,0.778,90.017,90.239,91.914,2.699,87.428,87.216,2.589,2.81,4.486,2.801,,,,yes,,,,428.2
way/704155076,1,0.414,0.714,93.418,94.27,96.202,3.542,87.152,86.94,6.266,7.118,9.051,6.479,,,,yes,,,,269.7
way/704155077,2,0.786,0.812,90.169,90.719,91.42,2.075,86.614,86.321,3.555,4.105,4.806,3.848,,,,yes,,,,186.4
way/704274696,1,0.97,1.0,95.243,96.195,97.043,1.978,92.656,92.378,2.586,3.539,4.387,2.865,,,,yes,,,,132.8
way/704449228,1,0.493,1.0,91.18,92.968,93.043,2.812,88.004,87.935,3.176,4.964,5.039,3.245,,,,yes,,,,120.6
way/705439387,1,0.122,1.0,75.589,76.128,76.128,0.59,71.07,70.233,4.519,5.058,5.058,5.356,,,,yes,,,,353.8
way/708743642,1,0.539,1.0,85.386,86.22,88.471,4.257,82.43,81.955,2.956,3.789,6.041,3.432,,,,yes,,,,138.3
way/708743644,1,0.432,0.75,84.995,84.998,84.998,0.632,82.465,82.186,2.529,2.533,2.533,2.809,,,,yes,,,,98.3
way/708743645,1,0.94,0.917,83.206,84.802,85.491,2.518,81.329,80.343,1.877,3.473,4.162,2.863,,,,yes,,,,166.7
way/708743646,1,1.023,1.0,81.615,81.64,81.907,0.48,78.575,78.525,3.039,3.065,3.332,3.089,,,,yes,,,,80.4
way/708743648,2,1.059,0.714,79.406,81.897,82.251,0.784,77.005,76.841,2.401,4.893,5.247,2.565,,,,yes,,,,292.5
way/708743651,1,1.123,1.0,76.015,76.753,76.892,2.553,72.624,71.428,3.391,4.129,4.268,4.587,,,,yes,,,,233.1
way/708743652,1,1.018,0.917,84.145,84.152,84.243,0.49,78.552,78.419,5.593,5.6,5.691,5.726,,,,yes,,,,172.1
way/708761758,1,0.967,0.8,88.303,89.344,89.357,6.183,80.502,80.148,7.801,8.842,8.855,8.155,,,,yes,,,,134.7
way/708762536,2,0.966,0.739,84.206,84.564,85.64,2.346,78.157,77.456,6.048,6.407,7.483,6.749,,,,yes,,,,304.7
way/708762538,1,0.96,1.0,81.76,81.809,81.956,0.784,78.841,78.807,2.919,2.968,3.115,2.952,,,,yes,,,,162.2
way/708762539,1,0.255,0.833,86.214,86.456,88.076,2.253,78.74,78.568,7.474,7.715,9.335,7.646,,,,yes,,,,165.4
way/708764846,1,1.078,1.0,81.015,81.693,82.652,2.089,78.137,77.569,2.878,3.556,4.515,3.446,,,,yes,,,,203.8
way/711002146,3,0.802,0.909,74.16,74.205,75.471,1.377,71.277,71.222,2.883,2.928,4.194,2.938,,,,yes,,,,252.2
way/711002147,1,1.587,0.8,84.823,85.797,86.529,2.162,83.287,82.849,1.536,2.51,3.242,1.974,,,,yes,,,,182.9
way/71405859,1,1.049,1.0,103.381,103.493,103.493,0.197,99.348,99.238,4.033,4.145,4.145,4.143,,,,yes,,,,126.0
way/72667677,1,1.045,1.0,64.456,64.481,64.8,0.8,58.867,58.588,5.589,5.614,5.932,5.868,7.5,levels,-1.911,yes,2,,Acces Imobil,258.2
way/729197401,1,1.152,0.929,95.149,96.552,97.061,2.504,84.169,83.763,10.98,12.383,12.893,11.385,,,,yes,,,,283.1
way/73667568,1,1.018,0.889,106.013,107.119,108.392,15.019,88.201,87.912,17.812,18.918,20.191,18.101,,,,commercial,,,Baza Auto a Parlamentului,2427.8
way/737881766,1,0.947,1.0,89.427,90.412,91.948,3.593,84.457,84.298,4.97,5.955,7.491,5.129,,,,yes,,,,267.2
way/737884749,2,0.673,1.0,89.599,90.654,91.672,2.864,85.9,85.419,3.698,4.753,5.771,4.18,,,,yes,,,,245.7
way/737894493,1,0.965,1.0,88.314,88.4,88.843,3.61,76.886,76.189,11.428,11.513,11.957,12.125,,,,retail,,,,306.5
way/737894494,1,0.109,0.917,80.037,80.089,80.372,0.629,77.889,77.244,2.149,2.201,2.483,2.793,,,,yes,,,,579.5
way/737894495,1,0.559,1.0,81.144,81.886,82.263,2.625,76.881,76.362,4.263,5.005,5.382,4.781,,,,yes,,,,312.7
way/738213813,1,0.314,1.0,90.79,91.326,91.444,1.072,88.202,88.207,2.587,3.124,3.241,2.582,,,,yes,,,,189.4
way/738213815,1,0.73,0.889,93.133,94.986,95.652,3.515,89.455,89.283,3.677,5.53,6.197,3.849,,,,yes,,,,306.6
way/738213816,1,0.752,0.778,96.709,97.546,97.741,2.655,90.607,89.874,6.102,6.938,7.134,6.835,,,,yes,,,,292.0
way/738213819,1,1.081,0.714,93.771,93.855,93.856,3.304,88.63,88.36,5.142,5.225,5.227,5.411,,,,yes,,,,216.2
way/739883130,1,0.827,0.81,72.932,73.092,73.361,0.859,70.608,70.39,2.324,2.484,2.753,2.542,,,,yes,,,,335.4
way/739883131,2,0.866,0.867,71.569,75.319,75.661,1.674,68.613,68.241,2.957,6.707,7.048,3.328,,,,yes,,,,242.9
way/739883132,3,1.009,1.0,70.478,70.577,71.07,0.788,67.329,67.169,3.149,3.248,3.741,3.309,,,,yes,,,,126.0
way/739883133,2,0.983,1.0,69.484,72.597,72.732,3.446,67.403,67.125,2.081,5.194,5.33,2.359,,,,yes,,,,135.2
way/739883134,1,0.59,1.0,71.757,72.151,72.151,0.492,68.026,67.864,3.731,4.125,4.125,3.893,,,,yes,,,,134.2
way/739883135,2,0.852,1.0,71.513,73.103,73.284,0.492,68.867,68.532,2.646,4.236,4.417,2.981,,,,yes,,,,173.5
way/739883136,1,0.994,1.0,71.754,73.225,73.919,2.755,69.201,68.724,2.554,4.025,4.719,3.03,,,,yes,,,,350.8
way/739883137,1,0.945,0.706,68.954,69.229,70.6,3.096,65.676,64.919,3.278,3.554,4.925,4.036,,,,yes,,,,211.6
way/739883138,1,0.894,1.0,70.418,70.569,70.766,0.689,65.168,65.005,5.251,5.402,5.599,5.414,,,,yes,,,,170.8
way/739883139,1,0.45,0.727,66.192,66.251,66.29,0.986,63.315,63.025,2.877,2.936,2.975,3.167,,,,yes,,,,135.6
way/739883140,1,0.772,1.0,68.65,68.847,68.847,0.788,65.976,65.527,2.674,2.871,2.871,3.123,,,,yes,,,,127.1
way/739883141,1,0.603,1.0,78.514,80.409,80.869,2.453,66.937,66.504,11.577,13.472,13.931,12.01,,,,yes,,,,172.9
way/739901249,1,0.606,1.0,80.121,80.477,80.562,1.223,77.895,77.145,2.226,2.582,2.667,2.976,,,,yes,,,,189.8
way/739901250,1,0.747,1.0,79.048,79.803,80.45,2.038,77.088,76.242,1.96,2.715,3.361,2.806,,,,yes,,,,111.1
way/739901251,1,1.048,0.778,81.262,81.521,82.982,4.328,77.295,76.838,3.967,4.226,5.688,4.424,,,,yes,,,,106.2
way/739901252,1,0.967,1.0,90.962,92.591,94.27,4.107,87.723,86.52,3.239,4.868,6.547,4.442,,,,yes,,,,224.7
way/739902916,2,0.372,1.0,94.5,94.641,94.791,0.411,91.002,90.861,3.497,3.638,3.788,3.638,,,,yes,,,,172.4
way/739904811,1,0.887,1.0,105.374,105.472,105.535,0.459,92.418,91.527,12.957,13.054,13.117,13.847,,,,yes,,,Atomate,129.9
way/739904813,2,1.59,0.833,99.187,101.343,101.653,2.547,96.045,95.608,3.142,5.298,5.608,3.579,,,,yes,,,,137.5
way/739904814,1,0.933,1.0,101.98,103.428,103.865,1.992,98.271,98.134,3.709,5.158,5.594,3.846,,,,yes,,,,163.1
way/739904819,1,0.939,1.0,99.933,99.933,100.522,0.608,96.659,96.05,3.274,3.274,3.862,3.883,,,,yes,,,,103.3
way/74002795,1,1.112,1.0,82.354,85.01,86.331,4.498,78.145,77.886,4.209,6.865,8.186,4.467,,,,yes,,,,455.8
way/74002800,1,1.015,1.0,83.391,83.575,83.587,0.979,70.692,69.697,12.699,12.882,12.895,13.694,13.5,levels,-0.801,apartments,4,,,1367.7
way/74002810,1,0.984,1.0,89.163,89.294,89.304,0.381,82.037,81.911,7.126,7.258,7.267,7.251,,,,yes,,,,469.2
way/74002811,1,1.162,0.737,76.067,77.968,78.913,4.396,58.041,56.119,18.026,19.927,20.872,19.948,,,,yes,,,,358.6
way/74002812,1,1.021,0.882,73.773,73.915,74.376,0.675,59.064,58.991,14.709,14.851,15.312,14.782,16.5,levels,-1.791,yes,5,,,818.2
way/74002813,1,0.975,1.0,91.367,91.829,92.872,2.539,80.451,79.117,10.916,11.378,12.421,12.25,,,,yes,,,,1169.9
way/74002814,1,1.047,0.9,77.518,78.716,79.019,3.256,55.536,55.211,21.982,23.18,23.483,22.308,,,,yes,,,,359.3
way/74002816,1,1.024,0.971,96.185,97.905,98.829,5.212,84.236,83.946,11.949,13.669,14.593,12.239,10.5,levels,1.449,yes,3,,,1100.0
way/74002818,1,1.075,0.765,75.633,76.895,78.577,3.572,56.216,55.593,19.417,20.679,22.361,20.04,,,,yes,,,,281.8
way/74002820,1,0.927,1.0,89.822,91.384,91.735,2.189,80.31,79.316,9.512,11.073,11.425,10.506,10.5,levels,-0.988,yes,3,,,538.9
way/74002823,3,1.203,0.8,116.93,117.048,117.13,28.122,86.7,86.479,30.23,30.348,30.43,30.451,30.0,height,0.23,yes,9,30 m,,609.0
way/74002827,1,1.046,1.0,79.039,79.173,79.369,0.491,74.152,74.346,4.887,5.021,5.218,4.692,,,,yes,,,,452.8
way/74002844,1,1.002,0.903,117.797,118.354,118.987,3.378,86.858,86.953,30.939,31.496,32.128,30.844,30.0,height,0.939,apartments,9,30 m,,628.0
way/74002846,1,1.042,1.0,73.031,73.039,73.269,0.505,65.338,64.859,7.693,7.702,7.931,8.172,7.5,levels,0.193,yes,2,,,911.5
way/74002847,1,0.94,1.0,112.165,112.251,112.32,2.463,88.587,88.368,23.578,23.663,23.733,23.797,30.0,height,-6.422,yes,9,30 m,,807.4
way/740115015,1,1.709,0.833,102.522,103.109,103.316,2.827,99.502,99.215,3.02,3.607,3.815,3.307,,,,yes,,,,146.6
way/740115017,1,0.87,0.75,102.674,105.085,105.418,3.196,99.552,99.32,3.122,5.533,5.867,3.354,,,,yes,,,,222.5
way/740115022,1,0.269,0.9,97.93,97.954,97.974,0.246,96.683,95.615,1.247,1.271,1.291,2.316,,,,yes,,,,322.9
way/740115030,1,0.895,0.75,98.677,99.531,103.154,4.96,96.295,95.674,2.382,3.236,6.859,3.003,,,,yes,,,,120.8
way/740115031,1,0.556,0.9,103.913,104.353,104.401,1.075,102.113,101.742,1.8,2.239,2.288,2.171,,,,yes,,,,167.9
way/740115032,1,0.059,1.0,100.373,100.418,100.418,1.159,97.393,96.45,2.98,3.025,3.025,3.923,,,,yes,,,,365.0
way/740115033,1,0.524,1.0,104.033,104.229,104.523,1.078,101.582,101.479,2.451,2.647,2.941,2.553,,,,yes,,,,172.4
way/740115034,1,0.702,1.0,103.098,103.66,103.956,1.87,100.4,99.96,2.698,3.26,3.556,3.137,,,,yes,,,,117.4
way/740117252,2,1.554,0.75,73.952,74.454,75.046,1.094,66.614,66.522,7.339,7.84,8.432,7.431,,,,yes,,,,82.2
way/740120947,1,0.824,1.0,96.18,96.522,96.822,1.04,93.649,93.426,2.531,2.873,3.173,2.755,,,,yes,,,,148.8
way/740120949,1,0.622,1.0,98.004,98.61,99.675,1.714,93.675,92.769,4.329,4.934,5.999,5.235,,,,yes,,,,184.6
way/740120950,1,1.67,0.714,94.761,95.823,97.825,3.971,92.384,91.797,2.377,3.44,5.442,2.963,,,,yes,,,,300.7
way/740120951,1,0.083,1.0,96.283,97.052,97.052,1.034,93.792,93.672,2.491,3.26,3.26,2.611,,,,yes,,,,237.1
way/740120954,1,0.939,1.0,106.7,106.7,106.7,0.294,99.636,99.189,7.064,7.064,7.064,7.511,,,,yes,,,,294.0
way/741221836,3,0.797,0.875,93.797,94.801,96.031,3.116,90.995,90.751,2.802,3.807,5.037,3.046,,,,yes,,,,399.5
way/741221837,1,0.529,0.8,92.523,92.731,92.766,0.745,90.002,89.703,2.521,2.729,2.764,2.82,,,,yes,,,,94.4
way/741272677,1,0.847,0.846,91.051,91.464,92.69,2.532,88.16,88.067,2.892,3.305,4.531,2.984,,,,yes,,,,100.7
way/741272678,1,0.638,1.0,92.573,93.132,93.458,2.165,89.317,89.08,3.257,3.815,4.142,3.493,,,,yes,,,,244.6
way/741272679,1,0.415,0.8,96.408,97.148,97.194,1.1,94.205,93.624,2.203,2.943,2.99,2.784,,,,yes,,,,180.7
way/741278338,1,1.059,1.0,94.553,94.594,94.598,0.321,88.598,88.342,5.955,5.997,6.0,6.211,,,,yes,,,,156.5
way/741286427,1,0.656,1.0,98.261,99.266,99.342,1.341,94.161,93.77,4.1,5.105,5.181,4.491,,,,yes,,,,311.6
way/741293537,1,1.318,0.714,102.562,105.267,105.66,4.061,96.267,95.831,6.295,9.001,9.393,6.731,,,,yes,,,,121.3
way/741706297,1,0.997,1.0,112.076,112.19,112.19,0.587,107.128,106.929,4.948,5.062,5.062,5.147,,,,yes,,,,117.3
way/741706300,1,0.899,0.846,109.693,111.388,111.875,2.536,107.206,106.839,2.487,4.181,4.669,2.853,,,,yes,,,,172.7
way/741706301,1,1.081,0.867,108.694,109.087,109.185,0.982,106.397,106.078,2.298,2.69,2.789,2.616,4.5,levels,-2.202,yes,1,,,193.9
way/75517095,1,1.083,0.957,94.747,96.854,97.058,2.917,87.505,87.586,7.242,9.348,9.553,7.161,,,,yes,,,Biserica „Sfântul Pantelimon”,289.5
way/75517096,1,0.884,0.889,96.673,96.782,96.917,0.266,82.497,80.819,14.177,14.285,14.42,15.855,,,,yes,,,,454.4
way/75517098,3,1.043,1.0,99.437,99.828,102.495,5.911,88.777,87.888,10.66,11.051,13.718,11.549,,,,yes,,,Muzeul Național de Artă al Moldovei,2958.1
way/75517107,1,1.014,1.0,92.523,92.93,97.032,7.052,87.292,86.901,5.23,5.637,9.739,5.622,,,,yes,,,,555.6
way/75517108,1,0.928,1.0,90.862,91.188,91.27,0.606,82.995,82.333,7.867,8.193,8.274,8.529,,,,yes,,,,568.5
way/755946904,1,1.038,0.875,92.368,92.447,92.814,0.931,89.172,88.997,3.197,3.276,3.643,3.371,,,,yes,,,,242.8
way/762205706,2,0.772,0.864,83.398,83.742,84.707,1.754,80.898,80.741,2.499,2.844,3.809,2.657,,,,yes,,,,251.2
way/762704773,1,1.114,1.0,93.129,93.129,93.212,0.273,89.583,89.529,3.546,3.546,3.629,3.599,,,,yes,,,,24.5
way/77349313,1,0.953,1.0,89.47,89.531,89.975,1.083,84.49,84.261,4.98,5.041,5.485,5.209,4.5,levels,0.48,yes,1,,,198.1
way/80497122,1,0.944,1.0,97.161,99.157,99.265,2.36,87.737,87.538,9.424,11.42,11.528,9.623,,,,yes,,,,261.2
way/80497152,1,1.008,0.875,96.458,96.806,97.277,3.659,89.078,88.608,7.38,7.728,8.2,7.849,,,,college,,,Colegiul Național de Coregrafie,961.8
way/80722950,1,1.083,0.833,99.7,99.754,104.546,5.74,91.062,90.768,8.639,8.692,13.485,8.932,,,,yes,,,,222.1
way/80722953,1,0.969,0.909,101.065,101.233,101.62,2.848,94.981,94.584,6.085,6.252,6.639,6.482,,,,yes,,,,419.6
way/80722960,2,0.89,1.0,104.148,104.402,105.619,3.537,93.404,91.639,10.744,10.998,12.215,12.509,13.5,levels,-2.756,apartments,4,,,952.6
way/80722965,1,1.216,1.0,98.399,98.425,98.495,0.131,93.184,93.001,5.216,5.241,5.311,5.398,,,,yes,,,,67.2
way/80722969,1,0.917,1.0,103.799,103.875,103.875,0.46,92.031,91.654,11.768,11.844,11.844,12.145,,,,yes,,,,113.9
way/827540466,1,1.197,0.833,107.056,107.722,107.825,2.455,86.803,86.661,20.253,20.919,21.022,20.395,,,,yes,,,,299.4
way/844952925,5,1.006,0.88,144.197,149.055,154.687,5.836,84.202,83.743,59.994,64.853,70.484,60.453,,,,yes,,,"Judecătoria Chișinău, Sediul Centru",2271.3
way/85698785,1,1.142,0.714,92.753,92.865,93.206,0.925,78.999,78.033,13.754,13.866,14.207,14.72,,,,yes,,,,386.3
way/85698786,1,1.058,1.0,88.319,88.365,88.397,0.243,80.278,80.018,8.041,8.086,8.119,8.301,,,,yes,,,,601.8
way/85698791,1,1.086,0.9,89.282,90.443,90.673,2.747,83.651,82.601,5.63,6.792,7.022,6.681,,,,yes,,,,515.4
way/85698792,1,0.943,1.0,85.845,85.891,85.891,0.42,78.311,78.072,7.534,7.58,7.58,7.773,10.5,levels,-2.966,office,3,,,594.7
way/85745564,1,1.033,1.0,93.046,93.121,93.121,0.094,85.864,85.864,7.182,7.257,7.257,7.183,,,,yes,,,,433.2
way/860474299,1,1.099,1.0,67.173,67.367,67.367,1.794,60.873,60.848,6.3,6.494,6.494,6.324,,,,yes,,,,188.6
way/860474300,1,0.585,1.0,63.093,63.221,63.4,0.753,60.293,60.175,2.799,2.928,3.107,2.918,,,,garages,,,,187.3
way/87155329,1,0.997,1.0,90.23,90.4,90.722,0.694,86.455,83.054,3.775,3.945,4.267,7.176,5.0,height,-1.225,yes,1,5 m,,934.9
way/87155335,1,1.009,1.0,90.322,90.377,90.7,0.57,86.91,84.38,3.411,3.466,3.789,5.942,5.0,height,-1.589,yes,1,5 m,,937.8
way/879271633,3,1.439,0.85,77.081,78.56,79.423,3.337,73.948,73.512,3.133,4.611,5.474,3.57,,,,yes,,,,505.8
way/901757614,1,0.993,1.0,91.93,91.936,91.936,1.638,82.177,80.753,9.753,9.76,9.76,11.177,,,,yes,,,,266.0
way/90196386,1,1.261,0.706,72.997,73.326,73.836,2.275,57.983,57.283,15.013,15.343,15.853,15.714,7.5,levels,7.513,yes,2,,,282.3
way/90578621,1,1.059,0.875,103.221,103.314,103.372,5.544,94.361,94.319,8.859,8.952,9.01,8.901,,,,yes,,,,382.6
way/906890341,1,0.987,1.0,92.949,92.949,92.962,0.041,86.446,86.338,6.503,6.503,6.516,6.611,,,,yes,,,,108.6
way/906890344,1,0.868,1.0,90.964,90.967,91.008,0.952,87.605,87.215,3.359,3.362,3.403,3.75,,,,yes,,,,154.0
way/906946277,1,0.978,1.0,83.023,83.023,83.079,0.275,80.246,80.224,2.777,2.777,2.832,2.799,,,,allotment_house,,,,100.4
way/90967663,1,0.939,1.0,110.513,111.36,113.436,3.714,92.132,91.866,18.381,19.228,21.303,18.647,,,,yes,,,,312.6
way/91083979,1,0.944,1.0,85.276,85.771,85.771,0.597,78.3,78.223,6.976,7.471,7.471,7.053,,,,yes,,,,127.6
way/913873241,1,0.561,1.0,71.688,72.164,72.246,0.984,66.096,66.0,5.592,6.067,6.149,5.688,,,,yes,,,,156.6
way/913873243,1,0.875,1.0,75.793,75.989,75.989,0.393,69.088,68.875,6.704,6.9,6.9,6.918,,,,yes,,,,117.3
way/913873244,2,1.113,0.714,73.436,73.978,74.91,1.476,69.226,69.14,4.21,4.752,5.684,4.296,,,,yes,,,,74.8
way/913873245,3,0.661,1.0,71.308,71.504,72.784,1.377,69.05,68.789,2.259,2.454,3.734,2.519,,,,yes,,,,91.9
way/91884510,1,1.034,0.947,59.753,60.182,62.149,2.859,56.997,56.336,2.756,3.185,5.152,3.417,,,,yes,,,,248.5
way/91884513,1,0.897,1.0,70.875,70.907,71.159,2.363,65.124,64.768,5.751,5.783,6.035,6.108,,,,yes,,,,295.1
way/91884521,1,0.951,0.85,59.999,60.197,60.874,2.029,57.567,55.76,2.432,2.63,3.307,4.239,,,,yes,,,,335.9
way/91884523,1,0.359,1.0,61.731,62.279,62.388,1.537,58.713,58.653,3.018,3.566,3.674,3.078,,,,yes,,,,158.5
way/91884524,1,0.066,0.75,64.261,64.329,64.616,0.367,57.05,56.369,7.211,7.278,7.566,7.892,4.5,levels,2.711,yes,1,,,636.1
way/91936872,1,0.972,1.0,100.543,100.896,101.135,0.596,87.084,86.928,13.459,13.812,14.051,13.615,13.5,levels,-0.041,yes,4,,,97.3
way/91936879,1,1.015,1.0,91.991,92.098,94.232,2.788,87.633,87.667,4.357,4.465,6.599,4.324,4.5,levels,-0.143,yes,1,,,498.5
way/91936882,1,0.987,1.0,95.541,95.572,95.596,4.526,86.798,86.596,8.743,8.774,8.798,8.944,7.5,levels,1.243,yes,2,,,173.2
way/91936897,1,1.071,1.0,90.449,90.849,90.849,0.421,86.512,86.439,3.938,4.337,4.337,4.011,,,,yes,,,,32.5
way/91936902,1,2.41,0.826,91.62,93.087,94.629,3.954,87.8,87.647,3.82,5.288,6.829,3.973,4.5,levels,-0.68,yes,1,,,239.1
way/92029591,3,0.974,0.778,72.172,73.156,74.139,1.378,69.567,69.499,2.605,3.589,4.573,2.673,,,,yes,,,,475.3
way/92029593,1,0.616,1.0,83.775,83.902,83.945,0.183,77.827,75.63,5.948,6.075,6.117,8.145,,,,yes,,,,620.2
way/92029594,1,1.074,1.0,77.207,77.486,77.501,0.687,74.123,73.99,3.084,3.363,3.379,3.216,,,,yes,,,,127.4
way/92029595,1,1.011,1.0,70.943,71.031,71.228,0.591,67.548,66.896,3.394,3.482,3.679,4.046,4.5,levels,-1.106,yes,1,,,392.5
